holdings_id,title,issn
51888,Woman's art journal.,0270-7993
52018,Parkett.,0256-0917
52024,Aperture.,0003-6420
52053,New criterion.,0734-0222
52877,Art bulletin.,0004-3079
53023,Graphis.,0017-3452
53051,Art New England.,0274-7073
53088,Art journal.,0004-3249
53131,Arts magazine.,0004-4059
53343,October.,0162-2870
53395,African arts. : Arts d'Afrique.,0001-9933
53879,Drawing.,0191-6963
60163,Sculpture.,0889-728X
82878,New Yorker.,0028-792X
107270,ARTnews.,0004-3273
108402,Communication arts.,0010-3519
108518,Cinefex.,0198-1056
212096,Art in America.,0736-7619
413282,Ceramics monthly.,0009-0328
413841,National geographic magazine.,1044-6613
415994,American craft.,0194-8008
416520,Flash art.,0394-1493
416575,International review of African American art.,1045-0920
416626,ID : magazine of international design.,0894-5373
416633,Step-by-step graphics.,0886-7682
416634,How.,0886-0483
416636,New art examiner.,0886-8115
416867,Visual Resources Association bulletin.,1046-9001
434125,American art /,1073-9300
525394,Contact sheet /,1064-640X
533948,Animation magazine.,1041-617X
533977,Afterimage.,0300-7472
535302,Artforum international.,0004-3532
537790,Emigre.,1045-3717
538023,Eye : the international review of graphic design.,0960-779X
541649,New American paintings.,1066-2235
548157,Art in America.,0004-3214
568887,Poliester : pintura y no pintura.,1405-0560
569041,Art calendar.,0893-3901
570741,Modern painters.,0953-6698
583521,Blind spot photography.,1068-1647
584515,Wired.,1059-1028
586073,Art newspaper.,0960-6556
591555,Adbusters.,0847-9097
595081,Public art review.,1040-211X
668949,Journal of artists' books : JAB.,1085-1461
672010,DoubleTake.,1080-7241
702564,View camera.,1066-6958
710213,Critique : the magazine of graphic design.,1523-701X
758103,Design annual.,NA
783086,"Ceramics, art and perception.",1035-1841
795014,American arts quarterly.,NA
795029,CMYK magazine.,NA
795247,Photographer's forum.,0194-5467
795253,Photography in New York.,1040-0346
795268,Printmaking today.,0960-9253
795272,Toon magazine.,NA
821905,Artsmedia : Boston's monthly guide to the visual arts.,NA
821914,Nueva luz : a photographic journal.,0887-5855
826049,CAA careers : positions listings.,NA
869714,Art nexus.,0122-1744
869791,Art on paper.,1521-7922
869813,Psychology of music.,0305-7356
869820,YC young children /,1538-6619
869822,Current.,0011-3131
869823,International educator : TIE.,1044-3509
869835,Journal of pastoral care & counseling.,1542-3050
869836,"Race, ethnicity and education.",1470-109X
869838,Intercultural education.,1469-8439
869854,Teaching education.,1470-1286
869858,Electronic school.,NA
869859,"Association for Play Therapy, Inc. Newsletter.",NA
869861,Lesley : the magazine of Lesley College.,1041-6293
869876,International journal of play therapy.,1555-6824
869899,Field methods.,1525-822X
869900,Journal of dance medicine & science : official publication of the International Association for Dance Medicine & Science.,1089-313X
869915,JCT.,1057-896X
869946,Prompt.,NA
869947,Dramatherapy : the journal of the Association for Dramatherapists.,0263-0672
869958,Odyssey : new directions in deaf education /,NA
869959,Newsletter /,0849-0554
869960,Mailbox bookbag.,1088-6397
870044,"Innovations in early education, the international Reggio exchange.",1542-2216
870049,Canadian journal of music therapy = Revue canadienne de musicothe��rapie.,1199-1054
870087,International journal of intensive short-term dynamic psychotherapy.,1096-7028
870105,Quadrant.,0033-5010
870114,Inscape : the journal of the British Association of Art Therapists.,0264-7141
870117,Professional school counseling.,1096-2409
870133,Women & music : a journal of gender and culture.,1090-7505
870149,Bulletin /,0953-7511
870217,International journal of educational research.,0883-0355
870242,Pratt Institute creative arts therapy review.,0196-8459
870272,Education and training in mental retardation and developmental disabilities.,1079-3917
870297,IAWM journal /,1082-1872
870311,Journal of pastoral care.,0022-3409
870349,Journals of gerontology.,1079-5014
870351,Journals of gerontology.,1079-5006
870421,Teaching children mathematics.,1073-5836
870437,Mathematics teaching in the middle school /,1072-0839
870438,Primary voices K-6.,1068-073X
870439,Equity & excellence in education : University of Massachusetts School of Education journal.,1547-3457
870440,Special education report.,0148-477X
870441,Brown University child and adolescent behavior letter : monthly reports on the problems of children and adolescents growing up.,1058-1073
870442,International journal of arts medicine : IJAM.,1057-4263
870446,Journal of psychotherapy : practice and research.,1055-050X
870447,Journal of school leadership.,1052-6846
870449,Nonprofit management & leadership.,1542-7854
870450,"International journal of disability, development, and education.",1465-346X
870453,HRMagazine.,1047-3149
870454,Storytelling magazine.,1048-1354
870458,World watch.,0896-0615
870459,FairTest examiner : a publication of the National Center for Fair & Open Testing.,0898-2511
870461,Journal of feminist family therapy.,1540-4099
870464,Canadian Art Therapy Association journal.,0832-2473
870465,Autism research review international : a quarterly publication of the Institute for Child Behavior Research.,0893-8474
870470,Journal of poetry therapy.,0889-3675
870472,Reading research and instruction : the journal of the College Reading Association.,0886-0246
870473,American Art Therapy Association newsletter.,1066-4076
870481,Art therapy : journal of the American Art Therapy Association.,0742-1656
870486,Music therapy : the journal of the American Association for Music Therapy.,0734-7367
870487,Music therapy perspectives.,0734-6875
870489,CORD newsletter /,0734-4856
870497,Schools in the middle /,0276-4482
870504,Women & therapy.,1541-0315
870508,Contact quarterly.,0198-9634
870523,Journal of adolescence.,0140-1971
870527,Voice of youth advocates : VOYA.,0160-4201
870528,A.D.T.A. newsletter.,NA
870530,Chem 13 news. : Chem 12 news.,0703-1157
870532,American journal of dance therapy.,0146-3721
870535,Journal of visual impairment & blindness.,0145-482X
870536,Behavior modification.,0145-4455
870540,Reading improvement.,0034-0510
870544,Psychological perspectives.,0033-2925
870545,British journal of music therapy.,0308-244X
870546,Journal of transpersonal psychology.,0022-524X
870548,Journal of law & education.,0275-6072
870550,Journal of research in personality.,0092-6566
870552,Studies in American fiction.,0091-8083
870554,Journal of humanistic psychology.,0022-1678
870562,International journal of group psychotherapy.,0020-7284
870564,International journal of psychoanalysis.,0020-7578
870565,Rehabilitation psychology.,0090-5550
870568,Bulletin of the Menninger Clinic.,0025-9284
870569,Voices ; the art and science of psychotherapy.,0042-8272
870573,Educational research.,1469-5847
870588,SIECUS report /,0091-3995
870595,Museum international.,1350-0775
870659,Journal for specialists in group work.,1549-6295
870677,Archives of pediatrics & adolescent medicine.,1072-4710
870728,"Horn book Magazine (Boston, Mass. : 1945).",0018-5078
870750,Teaching music.,1069-7446
870782,TESOL journal.,1949-3533
870957,Current history.,0011-3530
871000,Rethinking schools.,0895-6855
871039,"MultiCultural review : dedicated to a better understanding of ethnic, racial, and religious diversity.",1058-9236
871050,Teaching & learning.,0887-9486
871092,Social studies and the young learner.,1056-0300
871124,Journal of the American Academy of Child and Adolescent Psychiatry.,0890-8567
871155,Early childhood research quarterly.,0885-2006
871175,"Genetic, social, and general psychology monographs.",8756-7547
871217,Written communication.,0747-0290
871294,Zero to three.,0736-8038
871301,Women's studies quarterly.,0732-1562
871315,Developmental review : DR.,0273-2297
871323,Principal.,0271-6062
871338,Science teacher.,0036-8555
871436,Child care information exchange.,0164-8527
871438,School science and mathematics.,0036-6803
871448,Journal of autism and developmental disorders.,0162-3257
871454,Action in teacher education.,0162-6620
871473,Journal of behavioral medicine.,0160-7715
871487,Gifted child quarterly.,0016-9862
871508,Teachers & writers magazine.,0146-3381
871515,Educational leadership.,0013-1784
871517,Independent school.,0145-9635
871528,Journal of psychohistory.,0145-3378
871540,Journal of music therapy.,0022-2917
871599,Communication education.,0363-4523
871618,American journal of art therapy.,0007-4764
871647,Organizational dynamics.,0090-2616
871651,Journal of clinical child psychology.,0047-228X
871692,Youth & society.,0044-118X
871718,Signal : approaches to children's books.,0037-4954
871814,Harvard business review.,0017-8012
871820,Modern drama.,0026-7694
871825,Quarterly review of biology.,0033-5770
871827,Journal of creative behavior.,0022-0175
871853,Teaching exceptional children.,0040-0599
871868,Science & society.,0036-8237
871877,Gerontologist.,0016-9013
871885,Human development.,0018-716X
871902,Science and children.,0036-8148
871930,Young children.,0044-0728
871939,National wildlife.,0028-0402
871943,Harvard educational review.,0017-8055
871946,Audubon.,0097-7136
871951,Journal of cross-cultural psychology.,0022-0221
871968,Exceptional children.,0014-4029
871974,Educational theory.,0013-2004
871977,Educational forum.,0013-1725
871988,Daedalus : proceedings of the American Academy of Arts and Sciences.,0011-5266
872014,Childhood education.,0009-4056
872022,Change.,0009-1383
872064,Ame��ricas.,0003-1577
872069,American scientist.,0003-0996
872072,American school board journal.,0003-0953
872133,Exceptional parent.,0046-9157
872309,Journal of experimental child psychology.,0022-0965
872341,Annals of dyslexia : [an interdisciplinary journal of the Orton Dyslexia Society].,0736-9387
872348,New England journal of public policy.,0749-016X
872385,Journal of social psychology.,0022-4545
872391,Cognitive psychology.,0010-0285
872406,Training.,0095-5892
872461,Educational technology.,0013-1962
872467,"Language, speech & hearing services in schools.",0161-1461
872568,Museum news.,0027-4089
875525,ILWC journal.,1048-5031
875590,Education and training of the mentally retarded.,0424-5334
875596,Journal of speech and hearing disorders : JSHD.,0022-4677
875621,Genetic psychology monographs.,0016-6677
876029,Independent school bulletin.,0019-3755
877241,Lifelong learning.,0740-0578
877754,Bulletin of the Orton Society.,0474-7534
877827,Confinia psychiatrica.,0010-5686
877828,Group psychotherapy and psychodrama : official organ of the American Society of Group Psychotherapy and Psychodrama.,0096-0586
877830,Education of the visually handicapped : the official publication of Association for Education of the Visually Handicapped.,0013-1458
877832,Integrated education.,0020-4862
877837,Group psychotherapy.,0017-4734
877839,Exceptional child.,0156-6555
877840,"Lifelong learning, the adult years /",0148-2165
877853,Journal of holistic medicine.,0195-5977
877868,Perspectives for teachers of the hearing impaired.,0735-6315
877869,International journal of holistic health & medicine.,0737-9560
877872,National storytelling journal.,0743-1104
877873,Yarnspinner.,NA
877880,Photo therapy quarterly.,NA
877881,Equity & excellence : the University of Massachusetts School of Education quarterly.,0894-0681
877882,Brown University child behavior and development letter.,0898-2562
877884,JIAMH : journal of the International Association of Music for the Handicapped.,NA
877889,Tuning in : the newsletter of the American Association for Music Therapy.,NA
878073,MEH bulletin.,8756-713X
878673,Advances : journal of the Institute for the Advancement of Health.,0741-9783
879099,Anima.,0097-1146
879251,Arts in psychotherapy.,0197-4556
879530,School and community.,0036-6447
879536,Canadian journal of special education.,0827-3391
879816,Womanthought : magazine of the arts at Lesley College.,NA
879824,New England Reading Association journal.,0028-4882
879916,Dramascope : the National Association for Drama Therapy newsletter.,1064-6191
879917,Person-centered review.,0883-2293
879923,Perspectives in education and deafness.,1051-6204
879929,Education and training in mental retardation.,1042-9859
879990,Moral education forum.,0163-6480
880245,Growing child research review.,0737-0318
880327,Learning.,0090-3167
880333,Learning and instruction : the journal of the European Association for Research on Learning and Instruction.,0959-4752
880435,Impulse.,1063-8520
880619,International journal of short-term psychotherapy.,0884-724X
880648,Journal of research and development in education.,0022-426X
880651,Journal of school psychology.,0022-4405
880684,Journal for higher education management : a journal of the American Association of University Administrators.,NA
880703,Journal of British music therapy.,0951-5038
880780,Journal of integrative and eclectic psychotherapy.,0729-8579
881087,Journal of mental imagery.,0364-5541
881092,Journal of museum education : Roundtable reports.,1059-8650
881179,Journal of education.,0022-0574
882627,Education and society.,0726-2655
885201,Science scope /,0887-2376
886399,Education and training in developmental disabilities.,1547-0350
886484,Shaman.,1216-7827
886497,Nordic journal of music therapy.,0809-8131
889485,Educational therapist : the journal of the Association of Educational Therapists.,NA
895618,Photography annual.,0079-1849
895624,Step inside design.,1540-2436
897239,Principal leadership.,1538-9251
901447,Metropolis.,0279-4977
909608,Art and AsiaPacific.,1039-3625
910416,Journal of reading recovery.,1538-6805
912794,Commonthought : magazine of the arts at Lesley College.,NA
920570,"Journal of group psychotherapy, psychodrama & sociometry.",1545-3855
920579,Exchange.,0164-8527
927385,Points of entry : cross-currents in storytelling.,1539-9710
930560,Education update /,1091-2622
930563,Childhood.,0907-5682
934165,Art documentation : bulletin of the Art Libraries Society of North America.,0730-7187
934170,Journal of transformative education.,1541-3446
934172,Classroom notes plus.,1526-5641
938830,I-D.,0262-3579
941069,L.U. tribune.,NA
944461,Poiesis : a journal of the arts and communication.,1492-4986
946977,Photograph.,1544-9084
951422,Spring.,0362-0522
958522,Middle level learning.,NA
958552,International journal of art therapy : inscape.,1745-4832
964537,Granta.,0017-3231
967690,Creative nonfiction.,1070-0714
967694,Juxtapoz.,1077-8411
976815,Ieata : newsletter of the International Expressive Arts Therapy Association /,NA
980357,Play therapy.,1934-9785
982936,Clinician's research digest.,8756-3207
996342,"Body, movement and dance in psychotherapy.",1743-2979
1000797,3X3 magazine.,1546-640X
1005555,British journal of play therapy /,1744-1145
1009407,Double take : points of entry.,1558-4828
1017629,Bulletin /,1914-0177
1051677,Music therapy now : newsletter of The Association of Professional Music Therapists and The British Society of Music Therapists/,NA
1051756,Perspectives /,NA
1069902,David Sims roses /,NA
1069909,World.,NA
1069912,Bible],NA
1069932,Visionary.,NA
1069938,Fantasy /,NA
1069946,Movement.,NA
1069951,Man /,NA
1069953,Power /,NA
1069955,Woman.,NA
1069965,"Paris, Dior Hommes, solitaire /",NA
1069968,Play /,NA
1081776,"Psychology of aesthetics, creativity, and the arts.",1931-3896
1178406,Ensemble /,0849-0554
1188327,Baseline.,0954-9226
1188330,Make : technology on your time.,1556-2336
1204631,American artist.,0002-7375
1205636,Bilingual journal.,0163-2337
1205637,Music therapy international report.,NA
1205650,Community mental health journal.,0010-3853
1205841,On the issues /,0895-6014
1343098,Illustration.,1543-4737
1343101,Creative quarterly.,1931-3098
1347049,Journal of applied arts and health.,2040-2457
1347528,McSweeney's.,2325-2588
1348282,Infobrief : an information brief of the Association for Supervision and Curriculum Development.,1091-2649
1348497,Bomb.,0743-3204
1350674,Women's studies newsletter.,0363-1133
1353030,Education and training in autism and developmental disabilities.,2154-1647
1353758,Journal of sandplay therapy.,1089-6457
1381173,Asian journal of counselling.,1560-8255
1386353,Arts & health.,1753-3015
1401962,Direct art.,NA
1401965,Central booking.,NA
1402984,Advances in mind-body medicine.,1470-3556
1411419,Teachers & writers.,0739-0084
1411808,Writer's digest.,0043-9525
1413074,Tin house.,1541-521X
1413631,Professional artist.,0893-3901
1414463,Play therapy : magazine of the British Association of Play Therapists,1744-1897
1500699,Leading note : the magazine of the British Association for Music Therapy.,NA
1500910,New educator.,1547-688X
1521630,Loupe.,2156-7050
1559698,BSMT news.,NA
1569367,"Luerzer's int'l archive : Ads, TV and Posters worldwide /",17273218
1590767,Brain mind bulletin.,0273-8546
1590779,New sense bulletin.,1057-0705
1590782,Brain/mind & common sense.,1057-0705
1590784,"Brain, mind : bulletin of breakthroughs.",1072-3927
1610354,JAMA pediatrics.,2168-6203
1617486,Essential teacher : ET.,1545-6501
1691428,Journal of educational foundations.,1597-3824
1861739,Adult learning.,1045-1595
2017828,Bulletin of art therapy.,0163-318X
2104072,Visible language.,0022-2224
2104078,History of photography.,0308-7298
2104084,Print.,0032-8510
2193355,"Dance, movement & spiritualities.",2051-7068
2193378,Drama therapy review.,2054-7668
2528786,Policy priorities : an information brief from ASCD.,NA
2823610,PDN : Photo district news.,1045-8158
2949209,Journal of visual literacy.,2379-6529
3079118,Naugatuck River review : a journal of narrative poetry that sings /,1944-0952
3304797,Photographies (Oxfordshire).,1754-0763
3578063,Foam.,1570-4874
3581313,Lu��rzer's int'l archive.,0893-0260
